NR IMOVEL;NR INCRA;CEP
93793928;9510807744055;78175000
93793936;9210330261150;77395000
93793987;9510809535984;93945000
93794010;9510726224863;79800002
93794061;9501579392772;65206000
93794096;9510809399517;59700000
93794100;9510806826244;68638000
93794150;9510809618928;65935500
93794169;4351120184654;35578899
93794223;0011801018000;76930000
93794312;9510809791719;38280000
93794355;9510999828907;39530000
93794380;9510803627194;14300001
93794401;9510807746341;78175000
93794410;9510809918808;64500000
93794436;9510803440280;65945000
93794541;9510808377412;62580000
93794550;9510808184452;83560000
93794592;9510809535470;14300001
93794630;9501573631465;69415000
93794649;9510809677509;58610000
93794657;0011120227809;76866000
93794690;9999897705150;68181970
93794703;3040501066233;47820000
93794797;9510644477909;64330000
93794800;9510809939724;14300001
93794827;9510809757960;38280000
93794843;9510809550355;73860000
93794916;9510807661516;29260984
93794924;9510809693709;56163000
93794967;9510809928366;75480000
93794983;9510640610779;58120000
93794991;9510809503608;97541000
93795084;9510809824900;29350000
93795130;9510809318290;48180000
93795165;9510809537332;93945000
93795220;9510809876382;56140000
93795238;9500334758589;99440000
93795246;9510646235635;69928000
93795262;9510990061905;76920000
93795289;9510727762893;38185000
93795351;9510802423145;45818000
93795416;9510809612725;83200002
93795440;9510808990700;38320000
93795599;9510990567663;98450000
93795637;4141230178094;38400010
93795670;9510809918131;76205000
93795688;9510480973144;63860000
93795793;9510809810284;73790000
93795807;9510809809006;73790000
93795815;9510809463460;38800000
93795823;9501495603247;39655000
93795840;9999037599450;76630000
93795904;9510809371345;59780000
93796110;9510808451671;17720000
93796145;9510808686393;48922200
93796226;9510809036716;39430000
93796250;9510808980585;38270000
93796285;9510809763340;39740000
93796307;9510809038336;39430000
93796374;9510809651461;56334899
93796382;2230930307834;56380970
93796390;9510647278737;64320000
93796404;9510808932343;36710000
93796420;9510808748925;28400000
93796447;9510808590957;38700001
93796501;9510807605527;36820000
93796544;9510809918050;37997000
93796560;9510809798489;97541000
93796595;9010911648367;78170000
93796692;9510809807224;15115000
93796706;9510805802287;78870000
93796722;9501145332704;77790000
93796757;9510809903100;36360000
93796781;9510803537446;78613000
93796803;9501817671405;62115000
93796889;9510809898009;78550001
93796900;9510808582423;17160000
93796960;9510568255659;85998000
93796978;9500921694631;38442250
35004940;9999110974116;95500000
93797125;9510809865690;35350000
93696256;9500178383227;95865000
93797133;9510808903670;78005000
93797141;9999205938427;72980000
93797176;9999203657340;78330000
86682130;9510485752677;48990000
89629558;9999977713846;35600000
90424956;9510212028607;76170000
90485831;9999706912401;63515000
91139252;9999209217694;56200000
91349311;9999629649999;68380000
91431948;9999895823600;78888000
91929504;9510567328695;29480000
91977878;9510489551242;76940000
92407315;9510648836970;56210000
92498710;9510721484409;48990000
92751121;9510569920974;62375000
92862454;9510565934865;85515000
92907555;9510728808846;56210000
92997830;4430500027710;37443000
93116950;9510642086201;83700970
93197373;9510721411193;79780000
93226950;0000606428782;77460000
93331789;9510641202941;29690000
93362242;9510727119265;96395000
93366388;9999206992417;62955000
93479883;7121080029680;86470000
93492880;9510806007251;39642000
93514158;9510806456803;48280000
93529201;9510806126854;43700000
93555075;9501575741632;65820000
93573340;9510568026897;56230000
93597223;9510807136780;46400000
93651724;9510647915982;70002900
93671849;9510808064040;39460000
93675216;9510807495594;56230000
93716842;9999895153109;29460000
93719752;9510809507182;44790000
93720483;9510809092624;78470000
93722940;9510804902709;68638000
93723890;9510809071627;36345000
93724438;9510809165796;37997000
93724551;9501903868556;65002900
93725035;9510809288286;65975000
93725132;9510809006990;97930000
93725353;9510809163319;76994000
93726031;9510809125573;13900970
93726252;9510809188222;39775000
93726651;9510809281516;48930000
93726767;9502038209386;85585000
93726872;9501902229096;59582000
93727127;9510809303773;99600000
93727739;9510800233101;65930000
93728077;9510808249686;79440000
93729510;9510808782945;47200000
93729715;9510805230704;68450000
93731078;9510803848441;78700002
93731647;9510809167225;63900002
93731760;9510648577690;18200999
93733259;9999897465418;55415000
93733461;9999899665333;64400000
93733569;9510808094038;37940000
93734077;9510808749816;29590000
93734190;9510210559486;62736000
93734514;9510808693411;29690000
93734620;9510809203477;35200000
93735260;9999892605092;63515000
93735995;9510806041433;39365000
93736100;9510807708504;37275000
93736240;0011980037438;76857000
93736797;9501658844131;56200000
93737572;9999620892149;56220000
93737890;9510809376576;69301000
93738455;9510130722300;39402113
93739214;9510809456170;98380000
93741006;9510481918171;77675000
93741367;9500687635359;84185970
93741740;9510809357512;68774000
93741863;9510809407986;63400000
93742096;9510809183697;56360000
93742878;9510808838835;78780000
93742983;9510806058166;19580000
93743084;9510809445721;68385000
93744099;9510806913724;29260000
93745389;9501738793635;35565000
93746369;9510809391613;39740000
93746482;9510808394007;45680000
93747209;9510805414279;13610970
93747772;9510809505643;59663000
93748000;9500842438689;68695000
93748116;9510806619451;68639000
93748230;9510809505309;46470000
93748922;9500256276904;68570002
93749139;9510809493610;58723000
93749252;9510801598324;79480000
93749627;9510805344475;29950000
93749945;9510809242294;78340000
93750560;9510809476104;65390000
93750757;9510809422357;59300000
93751508;1580380096366;63500005
93752083;9999709242377;63515000
93752539;9510807823869;45615000
93753055;9510809120695;79200000
93756780;9501730164388;76345000
93757379;9510807530500;68530000
93757590;9510809537685;75675000
93759088;9510720024536;37855000
93759193;9500689906392;63300000
93760035;9510808586410;64528000
93760140;0000273526404;44550000
93761015;9510806947033;39730000
93761120;9510809317642;64460000
93761767;9510809582206;37945000
93761961;9510808855845;38320000
93762070;9999892310106;63515000
93762178;9510809439918;76350000
93762534;9510803660728;36280000
93762658;9510809554423;18200001
93763034;9999629588400;76999000
93766050;9510809545270;29665000
93766874;9510806695476;78640000
93767161;9510809638520;65680000
93767900;9510809466990;76470000
93769822;9510300155120;83085475
93770030;9510808781205;37630000
93770871;9510215543324;58398000
93771479;9510809528007;28375000
93772971;9510809133320;36335000
93773480;9510807432592;89675000
93774230;9510805209268;19600000
93774885;9510809542417;65680000
93775105;9510727006304;57760000
93775237;9510806976726;58195000
93777108;9501732510623;56200000
93777213;2120590023305;58740000
93777485;4361270080011;36544000
93777647;9510809573568;75640000
93779550;9510725622202;83005000
93780184;9510808851939;14900000
93780400;9500680657063;65340000
93782209;9510723130922;45570000
93783221;9510808934206;64860000
93783345;9510809009662;64860000
93784163;9510808829925;17260000
93784520;9510809402321;17360000
93785330;9510809818420;56355000
93785569;6090720037000;15120000
93787111;9501736451176;14725000
93787316;9510809130909;75280000
93788150;9999386977704;99952000
93788274;9510808608325;85801000
93788380;9510488720326;56220000
93789017;9500336767801;56440000
93789360;3250310479532;45836000
93790120;9999383886295;59555000
93790350;9510806892204;36325000
93791062;9510809771289;48922000
93791569;9502035088103;65360000
93792395;9510808600502;56210000
93792883;9510648593385;64965000
93793006;9501901164756;64945000
93793715;9510726501530;55550000
93794053;9510809765980;78830000
93794665;9510809676456;58640000
93794894;9510213664809;29260000
93795114;9510809832687;56163000
93796471;9510807927052;35940000
93797222;9510990498246;55660000
93797230;2240810402901;55695000
82909121;9501733474183;56200000
93797265;2240810410416;55695000
93797290;9510809507778;58400970
93797400;9510809737854;47160000
93797427;9510726707589;47800001
93797494;0000431659727;08900000
93797532;3250740053474;45834000
93797605;9510809899080;75850000
93797664;3250740113639;45834000
67276490;9510809847447;76200000
93797699;9510809559654;63800000
93797729;9500840306432;44140000
93797737;9510809555748;63800000
93797761;9260940299556;76550000
93797800;6290490144781;18620000
